epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3876,6e-05,102.261,3e-05,0,0,0,0,1e-05,66.0764,0,6e-05,6e-05,6e-05
2,49.0399,4e-05,97.5416,3e-05,0,0,0,0,1e-05,66.1051,0,0.000137228,0.000137228,0.000137228
3,66.7931,9e-05,93.8318,5e-05,0,0,0,0,1e-05,66.0462,0,0.000211288,0.000211288,0.000211288
4,84.29,7e-05,87.86,4e-05,0,0,0,0,1e-05,65.9138,0,0.00028218,0.00028218,0.00028218
5,102.74,9e-05,80.6132,5e-05,0,0,0,0,1e-05,65.8063,0,0.000349904,0.000349904,0.000349904
6,120.415,5e-05,75.2377,3e-05,0,0,0,0,1e-05,65.4127,0,0.00041446,0.00041446,0.00041446
7,138.124,1e-05,70.2659,1e-05,0,0,0,0,1e-05,64.7703,0,0.000475848,0.000475848,0.000475848
8,155.36,6e-05,66.6074,3e-05,0,0,0,0,1e-05,62.456,0,0.000534068,0.000534068,0.000534068
9,173.059,7e-05,64.1038,4e-05,0,0,0,0,1e-05,58.0495,0,0.00058912,0.00058912,0.00058912
10,194.305,4e-05,61.6573,2e-05,0,0,0,0,1e-05,50.2771,0,0.000641004,0.000641004,0.000641004
11,214.573,0.00283,60.0658,0.00148,0,0,0,0,0,44.1706,0,0.00068972,0.00068972,0.00068972
12,233.281,0.0003,58.6068,0.00015,0,0,0,0,0,36.5204,0,0.000735268,0.000735268,0.000735268
13,251.027,0.00142,56.6005,0.00064,0,0,0,0,0,31.598,0,0.000777648,0.000777648,0.000777648
14,269.175,0.00074,55.2537,0.00035,0,0,0,0,0,30.1639,0,0.00081686,0.00081686,0.00081686
15,286.794,0.00024,54.4792,0.00011,0,0,0,0,0,33.3599,0,0.000852904,0.000852904,0.000852904
16,306.067,0.00375,53.4534,0.00137,0,0,0,0,0,32.8621,0,0.00088578,0.00088578,0.00088578
17,325.451,0.14092,52.0626,0.0587,0,0,0,0,0,31.0598,0,0.000915488,0.000915488,0.000915488
18,343.383,0.27139,51.2926,0.08491,0,0,0,0,0,35.2923,0,0.000942028,0.000942028,0.000942028
19,360.517,1.35711,50.3529,0.55082,0,0,0,0,0,35.7541,0,0.0009654,0.0009654,0.0009654
20,377.955,1.3116,49.6948,0.62781,0,0,0,0,0,33.3901,0,0.000985604,0.000985604,0.000985604
