epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.205,1.91257,105.235,1.28503,0,0,0,0,1e-05,66.1481,0,0.00046,0.00046,0.00046
2,271.842,4.39535,55.256,2.67527,0,0,0,0,0,38.4671,0,0.000921388,0.000921388,0.000921388
3,401.873,4.11039,21.9636,2.02494,0,0,0,0,0,29.0453,0,0.00136377,0.00136377,0.00136377
4,546.515,3.79335,8.19774,1.48042,0,0,0,0,0,35.3904,0,0.00178714,0.00178714,0.00178714
5,695.951,3.40079,5.86249,1.28819,0,0,0,0,0.38149,26.2162,0.09668,0.0018416,0.0018416,0.0018416
6,824.935,3.21019,4.42726,1.40151,0,0,0,0,1.29699,28.1877,0.38474,0.001802,0.001802,0.001802
7,944.692,2.83229,3.72151,1.33255,0,0,0,0,6.38569,15.0101,2.09244,0.0017624,0.0017624,0.0017624
8,1063.48,2.72629,3.35924,1.14817,0.00042,0.07143,0.00025,2e-05,4.62091,7.81736,1.21637,0.0017228,0.0017228,0.0017228
9,1181.38,2.63731,3.22554,1.20265,0,0,0,0,5.53898,10.0159,1.5879,0.0016832,0.0016832,0.0016832
10,1299.05,2.45439,2.7939,1.13096,0,0,0,0,5.47744,10.6487,1.48911,0.0016436,0.0016436,0.0016436
11,1416.44,2.49837,2.63702,1.11504,0,0,0,0,6.40822,12.2033,2.20466,0.001604,0.001604,0.001604
12,1533.24,2.31529,2.34719,1.09544,0,0,0,0,6.19553,16.8489,1.88619,0.0015644,0.0015644,0.0015644
13,1662.36,2.26495,2.21246,1.11372,0.00106,0.07143,0.00058,0.00023,3.94695,6.87082,1.15435,0.0015248,0.0015248,0.0015248
14,1797.09,2.27977,2.05915,1.0635,0.00025,0.07143,0.00136,0.00027,3.8134,6.84107,1.10805,0.0014852,0.0014852,0.0014852
15,1925.23,2.29195,2.09434,1.09655,0.00035,0.07143,0.00053,0.00011,5.1419,8.02899,1.43145,0.0014456,0.0014456,0.0014456
16,2052.8,2.2061,1.98554,1.05612,0,0,0,0,5.7496,9.5836,1.64683,0.001406,0.001406,0.001406
17,2179.78,2.13326,1.87284,1.03326,0,0,0,0,6.15027,9.44635,1.80711,0.0013664,0.0013664,0.0013664
18,2301.59,2.14246,1.7709,1.03238,0,0,0,0,5.18484,7.85768,1.29888,0.0013268,0.0013268,0.0013268
19,2418.61,2.09536,1.73612,1.04498,0,0,0,0,5.04329,6.85464,1.31709,0.0012872,0.0012872,0.0012872
20,2547.57,2.16755,1.65011,1.03625,0,0,0,0,6.05996,8.9007,1.88272,0.0012476,0.0012476,0.0012476
21,2685.13,2.11003,1.64094,1.06293,0,0,0,0,5.94423,9.08409,1.65517,0.001208,0.001208,0.001208
22,2807.51,2.16753,1.61855,1.04795,0,0,0,0,6.18051,9.6656,1.76331,0.0011684,0.0011684,0.0011684
23,2926.84,2.04599,1.55734,1.02183,0,0,0,0,6.06576,8.58428,1.7,0.0011288,0.0011288,0.0011288
24,3827.79,2.01328,1.50776,1.0339,0,0,0,0,5.91071,7.93073,1.61957,0.0010892,0.0010892,0.0010892
25,3943.49,1.96355,1.49523,1.00582,0,0,0,0,5.217,8.23583,1.35689,0.0010496,0.0010496,0.0010496
26,4053.04,1.95737,1.46774,1.00694,0.00081,0.07143,0.0022,0.00022,4.63651,8.13737,1.21115,0.00101,0.00101,0.00101
27,4166.09,1.96153,1.42428,1.01519,0,0,0,0,6.09258,7.81026,1.6505,0.0009704,0.0009704,0.0009704
28,4290.22,2.00916,1.46997,1.02657,0.01757,0.07143,0.00497,0.00144,4.66815,5.90178,1.25541,0.0009308,0.0009308,0.0009308
29,4405.4,1.87915,1.33713,0.9538,0,0,0,0,5.26956,9.04576,1.47074,0.0008912,0.0008912,0.0008912
30,4530.72,1.9421,1.36685,0.98479,0,0,0,0,5.74239,16.2916,1.63726,0.0008516,0.0008516,0.0008516
31,4651.33,1.9544,1.35528,1.00217,0.00655,0.07143,0.00224,0.00022,5.1757,9.04953,1.38725,0.000812,0.000812,0.000812
32,4781.28,1.85797,1.25628,0.9673,0,0,0,0,6.05469,8.2572,1.68372,0.0007724,0.0007724,0.0007724
33,4903.51,1.91904,1.3653,1.02711,0,0,0,0,5.69554,8.35551,1.53017,0.0007328,0.0007328,0.0007328
34,5024.29,1.91765,1.28503,0.98018,0.00059,0.07143,0.00114,0.00011,4.61223,9.63015,1.25054,0.0006932,0.0006932,0.0006932
35,5143.49,1.85328,1.23859,1.0057,0,0,0,0,6.24388,9.48152,1.76083,0.0006536,0.0006536,0.0006536
36,5263.93,1.85839,1.22295,0.98086,0,0,0,0,6.08121,7.97507,1.72216,0.000614,0.000614,0.000614
37,5383.6,1.82132,1.2184,0.97353,0,0,0,0,5.93016,9.6189,1.61782,0.0005744,0.0005744,0.0005744
38,5502.04,1.82393,1.20528,1.00448,0,0,0,0,5.8452,11.9505,1.52991,0.0005348,0.0005348,0.0005348
39,5620.66,1.81173,1.1622,0.96655,0.00126,0.07143,0.00089,9e-05,5.36716,9.05282,1.38154,0.0004952,0.0004952,0.0004952
40,5739.04,1.75826,1.11965,0.94955,0,0,0,0,5.06703,7.83106,1.36477,0.0004556,0.0004556,0.0004556
41,5860.77,1.7513,1.24674,0.96719,0,0,0,0,5.71616,7.3222,1.58383,0.000416,0.000416,0.000416
42,5979.41,1.72074,1.17881,0.95148,0,0,0,0,5.60058,7.40971,1.54001,0.0003764,0.0003764,0.0003764
43,6098.11,1.73461,1.13775,0.97479,0,0,0,0,5.99867,7.9064,1.72358,0.0003368,0.0003368,0.0003368
44,6216.86,1.68865,1.14722,0.97219,0,0,0,0,6.00192,8.21823,1.74447,0.0002972,0.0002972,0.0002972
45,6338.58,1.72359,1.13411,0.95664,0,0,0,0,5.9253,7.01201,1.62891,0.0002576,0.0002576,0.0002576
46,6458.51,1.68467,1.1175,0.99311,0,0,0,0,5.80749,7.0154,1.56663,0.000218,0.000218,0.000218
47,6576.51,1.66415,1.11081,0.9605,0,0,0,0,5.59143,6.95699,1.50231,0.0001784,0.0001784,0.0001784
48,6696.39,1.63196,1.10666,0.95169,0,0,0,0,5.76552,7.02143,1.55065,0.0001388,0.0001388,0.0001388
49,6827.02,1.65447,1.04539,0.9711,0,0,0,0,5.76815,7.03434,1.53505,9.92e-05,9.92e-05,9.92e-05
50,6945.37,1.65774,1.08922,0.97247,0,0,0,0,5.80571,7.04306,1.54707,5.96e-05,5.96e-05,5.96e-05
